experiment,round,num_clients,num_parameters,weights_size,total_data_transferred
Outliers_10pct,1,10,109386,437544,8750880
Outliers_10pct,2,10,109386,437544,8750880
Outliers_10pct,3,10,109386,437544,8750880
Outliers_10pct,4,10,109386,437544,8750880
Outliers_10pct,5,10,109386,437544,8750880
Outliers_20pct,1,10,109386,437544,8750880
Outliers_20pct,2,10,109386,437544,8750880
Outliers_20pct,3,10,109386,437544,8750880
Outliers_20pct,4,10,109386,437544,8750880
Outliers_20pct,5,10,109386,437544,8750880
Outliers_30pct,1,10,109386,437544,8750880
Outliers_30pct,2,10,109386,437544,8750880
Outliers_30pct,3,10,109386,437544,8750880
Outliers_30pct,4,10,109386,437544,8750880
Outliers_30pct,5,10,109386,437544,8750880
