name,loss,accuracy,time
Centralized,0.16324909031391144,0.9535714387893677,32.58920097351074
Rounds_3,0.33267492055892944,0.9071428775787354,197.3421618938446
Rounds_5,0.33900177478790283,0.9047619104385376,201.7761631011963
Rounds_10,0.33677440881729126,0.9007142782211304,206.38696599006653
Clients_5,0.2770557999610901,0.920714259147644,125.0573341846466
Clients_10,0.3359284996986389,0.9028571248054504,213.3767511844635
Clients_20,0.45215296745300293,0.8719047904014587,408.19116616249084
IID_10clients,0.34243038296699524,0.8990476131439209,228.5098762512207
NonIID_10clients,1.8965330123901367,0.4816666543483734,211.39306449890137
NonIID_extreme,1.438126802444458,0.621666669845581,216.7615089416504
Epochs_1,0.5648016333580017,0.8569047451019287,189.0856807231903
Epochs_3,0.3327362537384033,0.9071428775787354,248.93327283859253
Epochs_5,0.28510934114456177,0.9223809242248535,295.4496831893921
FedAvg_10,0.33776259422302246,0.9023809432983398,256.1823556423187
FedSGD_LR0.01,2.355504035949707,0.1066666692495346,260.77349281311035
FedSGD_LR0.1,2.3630762100219727,0.10809523612260818,270.0884795188904
FedProx_mu0.01,0.33466213941574097,0.9061904549598694,275.2782928943634
FedProx_mu0.1,0.338861882686615,0.9026190638542175,278.62817573547363
